"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"IRdisplay","IRdisplay","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,"R (>= 3.0.1)","methods, repr",NA,"testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"IRkernel","IRkernel","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1",NA,"R (>= 3.2.0)","repr (>= 0.4.99), methods, evaluate (>= 0.10), IRdisplay (>=
0.3.0.9999), pbdZMQ (>= 0.2-1), crayon, jsonlite (>= 0.9.6),
uuid, digest",NA,"testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"irlba","irlba","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3.3",NA,"Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"isoband","isoband","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,NA,"Rcpp, grid, utils","Rcpp, testthat","covr, ggplot2, knitr, lwgeom, magick, microbenchmark,
rmarkdown, sf, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"ISOcodes","ISOcodes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2020.03.16",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"iterators","iterators","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.12",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.6.1"
"janeaustenr","janeaustenr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"janitor","janitor","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.1",NA,"R (>= 3.1.2)","dplyr (>= 0.7.0), tidyr (>= 0.7.0), snakecase (>= 0.9.2),
magrittr, purrr, rlang",NA,"testthat, knitr, rmarkdown, sf, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"jomo","jomo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.6-10",NA,NA,"stats, lme4, survival, MASS, ordinal",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"jpeg","jpeg","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-8.1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"jqr","jqr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 3.1.2)","magrittr, lazyeval",NA,"roxygen2 (>= 6.1.0), jsonlite, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"jsonify","jsonify","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"jsonlite","jsonlite","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.1",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"jsonvalidate","jsonvalidate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"V8",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"kableExtra","kableExtra","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest",NA,"testthat, magick, formattable, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"keras","keras","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.5.0",NA,"R (>= 3.2)","generics (>= 0.0.1), reticulate (>= 1.10), tensorflow (>=
2.0.0), tfruns (>= 1.0), magrittr, zeallot, methods, R6",NA,"ggplot2, testthat (>= 2.1.0), knitr, rmarkdown, tfdatasets,
jpeg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"kernlab","kernlab","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-29",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"KFAS","KFAS","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.7",NA,"R (>= 3.1.0)","stats",NA,"knitr, lme4, MASS, Matrix, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"knitr","knitr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.28",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, styler (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"kohonen","kohonen","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0.10",NA,"R (>= 2.10)","Rcpp (>= 0.12.12)","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"ks","ks","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.11.7",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0)",NA,"maps, MASS, misc3d (>= 0.4-0), OceanView, oz, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"KUD3D","KUD3D","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.2.0), ks, rayshader, dplyr, lubridate","ks, rayshader, dplyr, lubridate",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"labeling","labeling","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","3.6.1"
"labelled","labelled","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.2",NA,NA,"haven (>= 2.1.0), dplyr, stats",NA,"testthat, knitr, rmarkdown, questionr, snakecase","memisc","GPL-3",NA,NA,NA,NA,"no","3.6.1"
"laeken","laeken","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1",NA,"R (>= 3.2.0)","boot, MASS",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"Lahman","Lahman","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","7.0-1",NA,"R (>= 2.10)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"lars","lars","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"later","later","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"latticeExtra","latticeExtra","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"lava","lava","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.7",NA,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"lavaan","lavaan","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6-5",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"lazyeval","lazyeval","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"lazyrmd","lazyrmd","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0.1",NA,"R (>= 3.2.3)","knitr, rmarkdown, htmlwidgets, digest, htmltools",NA,"testthat, networkD3, lintr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"lbfgs","lbfgs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.1",NA,NA,"Rcpp (>= 0.11.2)","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"lbfgsb3","lbfgsb3","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2015-2.13.1",NA,"R (>= 2.15.0), numDeriv",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"leafem","leafem","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,"R (>= 3.1.0)","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1), mapdeck,
raster, sf, sp, methods, base64enc, scales (>= 1.0.0), png",NA,"clipr, gdalUtils, plainview, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"leaflet","leaflet","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.3",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf, shiny, rgdal, rgeos, R6, RJSONIO, purrr,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"leaflet.extras","leaflet.extras","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",NA,"jsonlite, readr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"leaflet.providers","leaflet.providers","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"leafpop","leafpop","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.5",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"leafsync","leafsync","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.1.0), methods","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"leaps","leaps","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"LearnBayes","LearnBayes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"learnr","learnr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.10.1",NA,NA,"utils, parallel, withr, rappdirs, rprojroot, jsonlite,
htmltools (>= 0.3.5), htmlwidgets, evaluate, knitr (>= 1.14),
markdown, shiny (>= 1.0), rmarkdown (>= 1.12.0), ellipsis (>=
0.2.0.1), checkmate, renv (>= 0.8.0)",NA,"testthat (>= 2.1.0), callr, rlang",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"lhs","lhs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,"R (>= 3.4.0)","Rcpp","Rcpp","testthat, DoE.base, knitr, rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"libcoin","libcoin","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-5",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"lifecycle","lifecycle","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,"R (>= 3.2)","glue, rlang (>= 0.4.0)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"lime","lime","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1",NA,NA,"glmnet, stats, ggplot2, tools, stringi, Matrix, Rcpp,
assertthat, htmlwidgets, shiny, shinythemes, methods,
grDevices, gower","Rcpp, RcppEigen","xgboost, testthat, mlr, h2o, text2vec, MASS, covr, knitr,
rmarkdown, sessioninfo, magick, keras, ranger",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"linprog","linprog","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-2",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"lintr","lintr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.1",NA,"R (>= 3.2)","rex, crayon, codetools, cyclocomp, testthat (>= 2.2.1),
digest, rstudioapi (>= 0.2), httr (>= 1.2.1), jsonlite, knitr,
stats, utils, xml2 (>= 1.0.0), xmlparsedata (>= 1.0.3)",NA,"rmarkdown, mockery",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"listenv","listenv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.1"
"lme4","lme4","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-23",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
statmod","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"lmerTest","lmerTest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.1-1",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"lmtest","lmtest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-37",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"locfit","locfit","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-9.4",NA,"R (>= 3.5.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"logging","logging","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.10-108",NA,"R (>= 3.2.0)","methods",NA,"testthat, crayon",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"loo","loo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.0",NA,"R (>= 3.1.2)","checkmate, matrixStats (>= 0.52), parallel, stats",NA,"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"lpSolve","lpSolve","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.6.15",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.6.1"
"lsei","lsei","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"lsmeans","lsmeans","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.30-0",NA,"emmeans (>= 1.3), methods, R (>= 3.2)",NA,NA,"",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"lubridate","lubridate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7.8",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"lwgeom","lwgeom","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2-1",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.6-0)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"magic","magic","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-9",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"magicaxis","magicaxis","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.10",NA,NA,"grDevices, graphics, stats, celestial (>= 1.4.1), MASS,
plotrix, sm, mapproj, RColorBrewer",NA,"imager",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"magick","magick","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, raster, rgdal, gapminder,
IRdisplay, tesseract (>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"magrittr","magrittr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"manipulate","manipulate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"manipulateWidget","manipulateWidget","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.10.1",NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"mapdeck","mapdeck","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.2",NA,"R (>= 3.5.0)","colourvalues (>= 0.3.4), googlePolylines (>= 0.7.2), geojsonsf
(>= 1.3.3), htmlwidgets, jsonify (>= 1.1.1), magrittr, Rcpp,
shiny, sfheaders (>= 0.2.1)","BH, colourvalues, geojsonsf (>= 1.3.3), jsonify (>= 1.1.1),
rapidjsonr, Rcpp, sfheaders (>= 0.2.1), spatialwidget (>=
0.2.2)","covr, googleway, jsonlite, knitr, rmarkdown, spatialwidget,
testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"mapproj","mapproj","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.7",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","3.6.1"
"maps","maps","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"maptools","maptools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-9",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.60), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"mapview","mapview","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.7.8",NA,"methods, R (>= 2.10)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster, satellite, scales (>= 0.2.5),
sf, sp, viridisLite, webshot",NA,"covr, dplyr, knitr, later, lwgeom, mapdeck, plainview,
rmarkdown, stars, testthat",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"markdown","markdown","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"matrixcalc","matrixcalc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-3",NA,"R (>= 2.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"MatrixModels","MatrixModels","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-1",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"matrixStats","matrixStats","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.56.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.1"
"maxLik","maxLik","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-8",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"mclust","mclust","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.4.5",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"MCMCglmm","MCMCglmm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.29",NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"mco","mco","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-15.1",NA,"R (>= 3.0.0)",NA,NA,"scatterplot3d, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"memoise","memoise","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"Metrics","Metrics","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.4",NA,NA,NA,NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"mfx","mfx","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-2",NA,"stats, sandwich, lmtest, MASS, betareg",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"mice","mice","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.8.0",NA,"R (>= 2.10.0)","broom, dplyr, graphics, lattice, methods, stats, tidyr, utils","Rcpp","knitr, lme4, MASS, mitml, miceadds, nnet, pan, randomForest,
rmarkdown, rpart, survival, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"microbenchmark","microbenchmark","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-7",NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"mime","mime","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.6.1"
"miniUI","miniUI","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"minpack.lm","minpack.lm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-1",NA,NA,NA,NA,"MASS",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"minqa","minqa","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"misc3d","misc3d","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8-4",NA,NA,NA,NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"miscTools","miscTools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6-26",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"missMDA","missMDA","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.16",NA,"R (>= 3.3.0)","FactoMineR,graphics,grDevices,mice,mvtnorm,stats,utils,doParallel,parallel,foreach",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"mitml","mitml","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-7",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, utils",NA,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
